EmployeeKey,WWIEmployeeID,Employee,PreferredName,IsSalesperson,Photo,ValidFrom,ValidTo,LineageKey
147,17,Piper Koch,Piper,false,,2015-03-26T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
148,11,Ethan Onslow,Ethan,false,,2015-04-05T08:00:00.000Z,2015-06-08T08:00:00.000Z,3
149,20,Jack Potter,Jack,true,,2015-04-22T08:00:00.000Z,2015-05-16T08:00:00.000Z,3
150,20,Jack Potter,Jack,true,,2015-05-16T08:00:00.000Z,2016-03-11T08:00:00.000Z,3
151,13,Hudson Hollinworth,Hudson,true,,2015-05-25T08:00:00.000Z,2016-03-10T08:00:00.000Z,3
152,14,Lily Code,Lily,true,,2015-05-28T08:00:00.000Z,2016-05-08T08:00:00.000Z,3
153,11,Ethan Onslow,Ethan,false,,2015-06-08T08:00:00.000Z,2015-11-19T08:00:00.000Z,3
154,6,Sophia Hinton,Sophia,true,,2015-06-12T08:00:00.000Z,2015-12-05T08:00:00.000Z,3
155,7,Amy Trefl,Amy,true,,2015-06-15T08:00:00.000Z,2016-03-20T08:00:00.000Z,3
156,3,Hudson Onslow,Hudson,true,,2015-07-02T08:00:00.000Z,2015-12-11T08:00:00.000Z,3
157,19,Jai Shand,Jai,false,,2015-08-02T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
158,8,Anthony Grosse,Anthony,true,,2015-09-12T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
159,11,Ethan Onslow,Ethan,false,,2015-11-19T08:00:00.000Z,2015-12-03T08:00:00.000Z,3
160,11,Ethan Onslow,Ethan,false,,2015-12-03T08:00:00.000Z,2015-12-24T08:00:00.000Z,3
161,6,Sophia Hinton,Sophia,true,,2015-12-05T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
162,3,Hudson Onslow,Hudson,true,,2015-12-11T08:00:00.000Z,2015-12-12T08:00:00.000Z,3
163,3,Hudson Onslow,Hudson,true,,2015-12-12T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
164,11,Ethan Onslow,Ethan,false,,2015-12-24T08:00:00.000Z,2016-02-25T08:00:00.000Z,3
165,15,Taj Shand,Taj,true,,2016-02-15T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
166,11,Ethan Onslow,Ethan,false,,2016-02-25T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
167,13,Hudson Hollinworth,Hudson,true,,2016-03-10T08:00:00.000Z,2016-03-27T08:00:00.000Z,3
168,20,Jack Potter,Jack,true,,2016-03-11T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
169,9,Alica Fatnowna,Alica,false,,2016-03-13T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
170,7,Amy Trefl,Amy,true,,2016-03-20T08:00:00.000Z,2016-05-31T23:13:00.000Z,3
